"trial_type","trial_index","time_elapsed","internal_node_id","userID","sessionType","success","rt","responses","stage","stimulus","key_press","sequence","recall","sequence_last_digits","digit","correct"
"survey-html-form-autofocus","79","244302","0.0-48.0-22.0-9.0","L2SPAN_2023_41","PRE","","6396","{""recall"":""637""}","recall","","","68209637","637","637","","true"
"html-keyboard-response","80","245764","0.0-48.0-22.0-10.0","L2SPAN_2023_41","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","81","247551","0.0-48.0-22.0-11.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">2</div>","null","2,0,4,5,0,9,5,7","","","2",""
"html-keyboard-response","82","249337","0.0-48.0-22.0-12.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">0</div>","null","2,0,4,5,0,9,5,7","","","0",""
"html-keyboard-response","83","251124","0.0-48.0-22.0-13.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">4</div>","null","2,0,4,5,0,9,5,7","","","4",""
"html-keyboard-response","84","252911","0.0-48.0-22.0-14.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">5</div>","null","2,0,4,5,0,9,5,7","","","5",""
"html-keyboard-response","85","254697","0.0-48.0-22.0-15.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">0</div>","null","2,0,4,5,0,9,5,7","","","0",""
"html-keyboard-response","86","256484","0.0-48.0-22.0-16.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">9</div>","null","2,0,4,5,0,9,5,7","","","9",""
"html-keyboard-response","87","258270","0.0-48.0-22.0-17.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">5</div>","null","2,0,4,5,0,9,5,7","","","5",""
"html-keyboard-response","88","260057","0.0-48.0-22.0-18.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">7</div>","null","2,0,4,5,0,9,5,7","","","7",""
"survey-html-form-autofocus","89","267231","0.0-48.0-22.0-19.0","L2SPAN_2023_41","PRE","","6508","{""recall"":""957""}","recall","","","20450957","957","957","","true"
"html-keyboard-response","90","268692","0.0-48.0-22.0-20.0-0.0","L2SPAN_2023_41","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","91","270478","0.0-48.0-22.0-20.0-1.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">5</div>","null","5,9,4,2,1,2,0,8,2,9","","","5",""
"html-keyboard-response","92","272265","0.0-48.0-22.0-20.0-2.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">9</div>","null","5,9,4,2,1,2,0,8,2,9","","","9",""
"html-keyboard-response","93","274051","0.0-48.0-22.0-20.0-3.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">4</div>","null","5,9,4,2,1,2,0,8,2,9","","","4",""
"html-keyboard-response","94","275838","0.0-48.0-22.0-20.0-4.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">2</div>","null","5,9,4,2,1,2,0,8,2,9","","","2",""
"html-keyboard-response","95","277624","0.0-48.0-22.0-20.0-5.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">1</div>","null","5,9,4,2,1,2,0,8,2,9","","","1",""
"html-keyboard-response","96","279411","0.0-48.0-22.0-20.0-6.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">2</div>","null","5,9,4,2,1,2,0,8,2,9","","","2",""
"html-keyboard-response","97","281198","0.0-48.0-22.0-20.0-7.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">0</div>","null","5,9,4,2,1,2,0,8,2,9","","","0",""
"html-keyboard-response","98","282984","0.0-48.0-22.0-20.0-8.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">8</div>","null","5,9,4,2,1,2,0,8,2,9","","","8",""
"html-keyboard-response","99","284772","0.0-48.0-22.0-20.0-9.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">2</div>","null","5,9,4,2,1,2,0,8,2,9","","","2",""
"html-keyboard-response","100","286560","0.0-48.0-22.0-20.0-10.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">9</div>","null","5,9,4,2,1,2,0,8,2,9","","","9",""
"survey-html-form-autofocus","101","296808","0.0-48.0-22.0-20.0-11.0","L2SPAN_2023_41","PRE","","9581","{""recall"":""0829""}","recall","","","5942120829","0829","0829","","true"
"html-keyboard-response","102","298270","0.0-48.0-22.0-20.0-12.0","L2SPAN_2023_41","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","103","300056","0.0-48.0-22.0-20.0-13.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">9</div>","null","9,7,4,8,7,9,2,7,3,0,3,2,7","","","9",""
